games,decisions,time,value_error,policy_error
9800,13502,1354.448147058487,3494.573926739401,5449
9900,13651,1370.6295018196106,3495.493041855606,5321
10000,13787,1385.2587110996246,3588.817961560701,4753
10100,13925,1399.34543967247,3584.7532940803203,5151
10200,14080,1417.0664525032043,3520.6939842497695,5178
10300,14221,1429.707885980606,3716.8259252751586,4664
10400,14365,1440.8880808353424,3602.9000582980643,5238
10500,14504,1451.2773621082306,3535.2676329290057,5390
10600,14635,1461.459571838379,3585.6513886774515,5192
10700,14787,1473.6653890609741,3584.891099419878,5164
10800,14927,1484.5907800197601,3598.807934180481,5027
10900,15079,1496.4515714645386,3652.174892310833,5065
11000,15201,1505.048947095871,3622.993335248316,5148
11100,15332,1514.5397200584412,3589.60230141384,5254
11200,15476,1525.6993103027344,3532.3097095711437,5168
11300,15626,1537.8083007335663,3736.9254244968015,4584
11400,15764,1552.648057937622,3628.4036183369635,4565
11500,15903,1568.0782425403595,3493.7437290582047,4909
11600,16046,1585.351488828659,3530.203975255637,5156
11700,16194,1603.867623090744,3570.799699510335,4545
11800,16337,1620.9402241706848,3490.8062250067715,4904
11900,16474,1636.1298627853394,3533.619119368849,5174
12000,16624,1653.5711886882782,3481.4030527437603,4804
12100,16761,1668.020015001297,3589.581259738744,3989
12200,16899,1682.6507518291473,3476.158903430657,4222
12300,17031,1695.9344935417175,3430.9974875496073,4234
12400,17181,1712.6043863296509,3387.6882850628544,4078
12500,17325,1728.2257809638977,3292.2389056933016,4520
12600,17476,1744.7746229171753,3363.9598288443703,4505
12700,17606,1758.8666822910309,3362.4747253491378,3668
12800,17753,1774.7309560775757,3316.627904990988,4497
12900,17907,1791.9010694026947,3272.2900770915467,3756
13000,18051,1807.4067831039429,3348.8700739486285,3593
13100,18190,1822.129384279251,3306.311199777675,3278
13200,18326,1837.5477135181427,3225.130148763744,3618
13300,18464,1853.5197463035583,3219.0157199646937,3498
13400,18602,1869.1025094985962,3232.1147738633126,3403
13500,18750,1886.526805639267,3167.2223148407265,3433
13600,18887,1902.2968831062317,3094.296945622382,3341
13700,19029,1918.8920495510101,3057.338043428777,3337
13800,19164,1933.7841951847076,2955.50031451416,2939
13900,19295,1948.6860196590424,2845.1250102695403,3158
14000,19447,1967.765056848526,2890.707661563887,2996
14100,19590,1984.4143464565277,2954.8686315416944,2605
14200,19732,2000.6179666519165,2775.5220913953526,2944
14300,19870,2015.395301580429,2718.4549182028436,2992
14400,20013,2030.9788229465485,2650.2499598484374,2503
14500,20147,2041.440277338028,2606.987476874569,2760
14600,20289,2052.2891092300415,2657.0817270737416,2406
14700,20434,2064.1140830516815,2654.4587734999614,2479
14800,20571,2074.283833503723,2696.5796139553486,3107
14900,20711,2084.8594691753387,2437.4973714586367,2584
15000,20849,2095.3485419750214,2449.984708444121,2431
15100,20991,2106.3838748931885,2438.8405377381296,2633
15200,21121,2115.945383310318,2462.105930948186,2650
15300,21264,2126.795791387558,2493.0319681784913,2731
15400,21408,2142.3356997966766,2426.5203572645632,2802
15500,21550,2157.863474369049,2490.2287837376707,2271
15600,21690,2172.6335027217865,2344.741798835082,2445
