hand_value,soft_hand,dealer_card,occurrence,hit_frequency,stay_frequency,expected_value
15,False,5,0.006705898453537704,0.01020408163265306,0.9897959183673469,-0.2354032627732468
16,False,5,0.008006021623101135,0.0,1.0,-0.23404650070966532
17,False,5,0.009169289722184207,0.0,1.0,-0.13031629753453233
18,False,5,0.010743123032708362,0.0,1.0,0.07899849296018224
19,False,5,0.011974818667031614,0.0,1.0,0.29015086562370135
20,False,5,0.013617079512795949,0.0,1.0,0.49952142062525146
21,False,5,0.014917202682359382,0.0,1.0,0.7043818986387231
4,True,5,0.0,,,
5,True,5,0.0,,,
6,True,5,0.0,,,
7,True,5,0.0,,,
8,True,5,0.0,,,
9,True,5,0.0,,,
10,True,5,0.0,,,
11,True,5,0.0,,,
12,True,5,6.842753524018066e-05,1.0,0.0,0.019781294507619545
13,True,5,0.0001368550704803613,1.0,0.0,-0.0017352913637371124
14,True,5,0.00020528260572054194,1.0,0.0,-0.013857045591118097
15,True,5,0.0003421376762009032,1.0,0.0,0.007344016894232997
16,True,5,0.00047899274668126453,1.0,0.0,0.08166375413562639
17,True,5,0.0006842753524018064,1.0,0.0,0.06648716295730525
18,True,5,0.0008895579581223484,0.3076923076923077,0.6923076923076923,0.17721884405786226
19,True,5,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.3643592544196832
20,True,5,0.001573833310524155,0.21739130434782608,0.782608695652174,0.5558097688839513
21,True,5,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7356514210280243
4,False,6,6.842753524018066e-05,1.0,0.0,-0.09295647222462818
5,False,6,6.842753524018066e-05,1.0,0.0,-0.10414706549764315
6,False,6,0.00020528260572054194,1.0,0.0,-0.10670432592837509
7,False,6,0.00020528260572054194,1.0,0.0,-0.06700187728357421
8,False,6,0.0004105652114410839,1.0,0.0,0.00918627553849846
9,False,6,0.00047899274668126453,1.0,0.0,0.08342973508138471
10,False,6,0.0007527028876419871,1.0,0.0,0.17597027576691637
11,False,6,0.0008895579581223484,1.0,0.0,0.21588973190508393
12,False,6,0.0038319419734501163,0.21428571428571427,0.7857142857142857,-0.1436439152935495
13,False,6,0.004584644861092104,0.208955223880597,0.7910447761194029,-0.17251193588657945
14,False,6,0.005679485424934994,0.03614457831325301,0.963855421686747,-0.19752705315519933
15,False,6,0.006705898453537704,0.0,1.0,-0.19904282561522743
16,False,6,0.008006021623101135,0.0,1.0,-0.19999980607162812
17,False,6,0.009169289722184207,0.0,1.0,-0.07132069164814525
18,False,6,0.010743123032708362,0.0,1.0,0.1520066549318839
19,False,6,0.011974818667031614,0.0,1.0,0.3395999005276183
20,False,6,0.013617079512795949,0.0,1.0,0.5279451535527567
21,False,6,0.014917202682359382,0.0,1.0,0.7118557231174983
4,True,6,0.0,,,
5,True,6,0.0,,,
6,True,6,0.0,,,
7,True,6,0.0,,,
8,True,6,0.0,,,
9,True,6,0.0,,,
10,True,6,0.0,,,
11,True,6,0.0,,,
12,True,6,6.842753524018066e-05,1.0,0.0,0.0488674997874453
13,True,6,0.0001368550704803613,1.0,0.0,0.03074184734260508
14,True,6,0.00020528260572054194,1.0,0.0,0.023078966525969344
15,True,6,0.0003421376762009032,1.0,0.0,0.04297391133503476
16,True,6,0.00047899274668126453,1.0,0.0,0.130973789794899
17,True,6,0.0006842753524018064,1.0,0.0,0.10150807674459553
18,True,6,0.0008895579581223484,0.23076923076923078,0.7692307692307693,0.2215884910867899
19,True,6,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.39420290133054503
20,True,6,0.001573833310524155,0.21739130434782608,0.782608695652174,0.5709459892101868
21,True,6,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7393217020477693
4,False,7,6.842753524018066e-05,1.0,0.0,-0.18787996842181964
5,False,7,6.842753524018066e-05,1.0,0.0,-0.21260150264748004
6,False,7,0.00020528260572054194,1.0,0.0,-0.25157768770369277
7,False,7,0.00020528260572054194,1.0,0.0,-0.1744737019857526
8,False,7,0.0004105652114410839,1.0,0.0,-0.03851212221046354
9,False,7,0.00047899274668126453,1.0,0.0,0.045808332660939276
10,False,7,0.0007527028876419871,1.0,0.0,0.13381917157122653
11,False,7,0.0008895579581223484,1.0,0.0,0.15550539630109464
12,False,7,0.0038319419734501163,1.0,0.0,-0.23070647727016572
13,False,7,0.004584644861092104,1.0,0.0,-0.3110804918583594
14,False,7,0.005679485424934994,1.0,0.0,-0.386904097753194
15,False,7,0.006705898453537704,1.0,0.0,-0.4292752187665466
16,False,7,0.008006021623101135,0.8376068376068376,0.1623931623931624,-0.5008742877896244
17,False,7,0.009169289722184207,0.0,1.0,-0.19029781781953004
18,False,7,0.010743123032708362,0.0,1.0,0.27541419681553636
19,False,7,0.011974818667031614,0.0,1.0,0.45371207688579235
20,False,7,0.013617079512795949,0.0,1.0,0.5923566174832182
21,False,7,0.014917202682359382,0.0,1.0,0.7287076060042945
4,True,7,0.0,,,
5,True,7,0.0,,,
6,True,7,0.0,,,
7,True,7,0.0,,,
8,True,7,0.0,,,
9,True,7,0.0,,,
10,True,7,0.0,,,
11,True,7,0.0,,,
12,True,7,6.842753524018066e-05,1.0,0.0,0.01977849886391314
13,True,7,0.0001368550704803613,1.0,0.0,-0.020203088698055618
14,True,7,0.00020528260572054194,1.0,0.0,-0.049791716977379136
15,True,7,0.0003421376762009032,1.0,0.0,-0.014438797544134786
