weights,accuracy,time
"[1.5470494800651013, 1.9292299290000017, 1.4494590000000007, 1.1859210000000004, 1.3045131000000008, 1.0890000000000002, 1.4494590000000007, 0.9, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.47,2.032597541809082
"[1.5470494800651013, 1.9292299290000017, 1.4494590000000007, 1.1859210000000004, 1.3045131000000008, 1.0890000000000002, 1.4494590000000007, 0.9900000000000001, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 0.9, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.42,2.016376495361328
"[1.5470494800651013, 1.9292299290000017, 1.4494590000000007, 1.0673289000000004, 1.3045131000000008, 1.0890000000000002, 1.4494590000000007, 0.9900000000000001, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 0.9, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.52,2.0569710731506348
"[1.3923445320585912, 2.122152921900002, 1.4494590000000007, 1.1740617900000005, 1.3045131000000008, 0.9801000000000002, 1.4494590000000007, 0.9900000000000001, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 0.9, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.45,2.819751262664795
"[1.3923445320585912, 1.9099376297100017, 1.594404900000001, 1.1740617900000005, 1.3045131000000008, 0.9801000000000002, 1.4494590000000007, 0.9900000000000001, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.9900000000000001, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.5,2.221741437911988
"[1.5315789852644504, 1.9099376297100017, 1.594404900000001, 1.1740617900000005, 1.3045131000000008, 0.9801000000000002, 1.4494590000000007, 0.9900000000000001, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.9900000000000001, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0, 1.0, 0.9900000000000001, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.43,1.945329427719116
"[1.6847368837908956, 1.7189438667390016, 1.594404900000001, 1.1740617900000005, 1.3045131000000008, 0.9801000000000002, 1.4494590000000007, 1.0890000000000002, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.81, 1.0, 1.0, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.1979000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.51,2.113246202468872
"[1.6847368837908956, 1.7189438667390016, 1.594404900000001, 1.1740617900000005, 1.3045131000000008, 1.0781100000000003, 1.4494590000000007, 1.0890000000000002, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.81, 1.0, 1.0, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.51,1.9008753299713133
"[1.6847368837908956, 1.7189438667390016, 1.594404900000001, 1.1740617900000005, 1.3045131000000008, 1.0781100000000003, 1.4494590000000007, 1.0890000000000002, 0.81, 1.0, 1.0890000000000002, 0.9801000000000002, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 1.0, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.47,1.903676986694336
"[1.6847368837908956, 1.5470494800651013, 1.594404900000001, 1.1740617900000005, 1.3045131000000008, 1.0781100000000003, 1.4494590000000007, 0.9801000000000002, 0.81, 1.0, 1.0890000000000002, 0.9801000000000002, 1.0890000000000002, 1.2100000000000002, 1.3310000000000004, 0.9, 0.8910000000000001, 1.1, 0.9, 1.1, 1.1, 0.9900000000000001, 0.7290000000000001, 1.0, 0.9, 1.0890000000000002, 0.9, 1.2100000000000002, 1.0, 1.0, 1.3176900000000005, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.49,1.8924038410186768
