weights,accuracy,time
"[0.813943867507925, 1.2914679690000006, 1.2914679690000006, 1.594404900000001, 0.38354628411000014, 1.1623211721000006, 1.1979000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.0890000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.2100000000000002, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9116,27.51075267791748
"[0.813943867507925, 1.2914679690000006, 1.2914679690000006, 1.594404900000001, 0.38354628411000014, 1.1623211721000006, 1.1979000000000004, 0.81, 1, 1.0781100000000003, 0.7217100000000002, 1.0890000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.2100000000000002, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9096,29.75420594215393
"[0.8953382542587176, 1.2914679690000006, 1.2914679690000006, 1.4349644100000007, 0.3451916556990001, 1.1623211721000006, 1.1979000000000004, 0.81, 0.9, 1.0781100000000003, 0.7217100000000002, 0.9801000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.0890000000000002, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.9, 1.2100000000000002, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9056,38.65047526359558
"[0.8058044288328459, 1.2914679690000006, 1.2914679690000006, 1.4349644100000007, 0.3451916556990001, 1.278553289310001, 1.1979000000000004, 0.81, 0.9, 1.0781100000000003, 0.7217100000000002, 0.9801000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.0890000000000002, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.9, 1.2100000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9076,37.01889610290527
"[0.8863848717161306, 1.2914679690000006, 1.2914679690000006, 1.4349644100000007, 0.3451916556990001, 1.278553289310001, 1.1979000000000004, 0.81, 0.9, 1.0781100000000003, 0.7217100000000002, 0.9801000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1979000000000004, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0890000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9088,31.455528020858765
"[0.7977463845445175, 1.2914679690000006, 1.2914679690000006, 1.4349644100000007, 0.3451916556990001, 1.278553289310001, 1.1979000000000004, 0.81, 0.9, 0.9702990000000004, 0.7217100000000002, 0.9801000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1979000000000004, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.9, 1.0890000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9052,30.385417699813843
"[0.8775210229989694, 1.1623211721000006, 1.1623211721000006, 1.4349644100000007, 0.3451916556990001, 1.278553289310001, 1.1979000000000004, 0.81, 0.9900000000000001, 0.9702990000000004, 0.7217100000000002, 0.9801000000000002, 0.81, 0.81, 1.2100000000000002, 0.9, 1.1979000000000004, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.81, 1.0890000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9084,27.884944677352905
"[0.8775210229989694, 1.1623211721000006, 1.278553289310001, 1.4349644100000007, 0.3451916556990001, 1.278553289310001, 1.1979000000000004, 0.81, 0.9900000000000001, 0.9702990000000004, 0.7217100000000002, 0.9801000000000002, 0.81, 0.81, 1.2100000000000002, 0.9, 1.1979000000000004, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.81, 1.0890000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9068,39.68897581100464
"[0.8775210229989694, 1.0460890548900006, 1.278553289310001, 1.5784608510000009, 0.3451916556990001, 1.278553289310001, 1.0781100000000003, 0.81, 0.9900000000000001, 0.9702990000000004, 0.7217100000000002, 0.9801000000000002, 0.81, 0.81, 1.2100000000000002, 0.9, 1.1979000000000004, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.81, 1.0890000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9096,36.201183557510376
"[0.8775210229989694, 1.0460890548900006, 1.278553289310001, 1.5784608510000009, 0.3451916556990001, 1.278553289310001, 1.0781100000000003, 0.81, 0.9900000000000001, 0.9702990000000004, 0.7938810000000003, 0.9801000000000002, 0.81, 0.81, 1.2100000000000002, 0.9900000000000001, 1.1979000000000004, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 0.9900000000000001, 0.81, 1.0890000000000002, 1.4641000000000006, 1.1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9068,31.92514944076538
