parameter,value,score,string_length
decay,0.9372079702348796,1.478618704816933e+192,100
decay,0.9451691587425589,1.5344428803493305e+46,100
decay,0.9531979742065464,1.055542833235362e+86,100
decay,0.9612949910894635,2.174067091491534e+133,100
min_temp,6.136550635173733e-16,9.680636653372813e+73,100
min_temp,3.7657253698051147e-31,1.4785869344867336e+192,100
min_temp,4.469126012445444e-29,9.680273425527048e+73,100
min_temp,5.303915010708859e-27,2.8103798951698726e+90,100
min_temp,6.294634423483069e-25,3.3561537217140706e+99,100
min_temp,7.47041052605454e-23,6.179795285078912e+114,100
min_temp,8.865810096864386e-21,2.1741007088095454e+133,100
min_temp,1.052185665024972e-18,1.4785808757783233e+192,100
min_temp,1.2487236491514718e-16,2.5110575297221807e+153,100
min_temp,1.4819730051284818e-14,1.3810548620669197e+72,100
min_temp,1.758791057910953e-12,1.750578442322512e+82,100
min_temp,2.0873160136404304e-10,9.279018487964334e+196,100
max_attempts,55.0,3.6551315293488405e+38,100
max_attempts,28.0,6.428603717864636e+119,100
max_attempts,36.0,3.4856888631265207e+65,100
max_attempts,44.0,1.3535278698310565e+161,100
max_attempts,52.0,1.1903452701247434e+59,100
max_attempts,61.0,6.180018085035307e+114,100
max_attempts,69.0,9.68025766511674e+73,100
max_attempts,77.0,3.329456290738177e+143,100
max_attempts,86.0,2.3158923268956802e+95,100
max_attempts,94.0,9.278802953109392e+196,100
max_attempts,102.0,4.2915426473307274e+117,100
max_attempts,110.0,7.522167156708502e+65,100
