parameter,value,score,string_length
mutation_prob,2.620907271797255e-14,10960.354705407664,100
mutation_prob,6.86915492735973e-28,10460.38153376202,100
mutation_prob,4.885765643612769e-26,9482.251684961897,100
mutation_prob,3.475057147019681e-24,8203.887480706451,100
mutation_prob,2.4716744633135875e-22,9551.86622165762,100
mutation_prob,1.758006960500188e-20,424862.32531941525,100
mutation_prob,1.2504027205199923e-18,6624.56431340055,100
mutation_prob,8.893633521444928e-17,501198.05232197506,100
mutation_prob,6.32569938594471e-15,3753.8122471572015,100
mutation_prob,4.499226623725353e-13,13375616.194151243,100
mutation_prob,3.2001268123201916e-11,492524.10175009636,100
mutation_prob,2.2761270928049324e-09,9506.306464085275,100
max_attempts,70.0,303613.7111834136,100
max_attempts,35.0,26843.25707301748,100
max_attempts,46.0,1802.3453820050102,100
max_attempts,56.0,1441.1365436636356,100
max_attempts,67.0,11564.74555457058,100
max_attempts,77.0,365034.3255898363,100
max_attempts,88.0,14403688.915441273,100
max_attempts,98.0,1260517.9953137713,100
max_attempts,109.0,1770.1147618722623,100
max_attempts,119.0,717.5208333253048,100
max_attempts,130.0,11677.560932583598,100
max_attempts,140.0,6606.945321047664,100
